H00375,NA,,,,,
H00376,Semen Oryzae cum Monasco Fermentatum,,,,,
H00377,Radix Ginseng Rubra,,,,,
H00378,Magnolia officinalis,,,,,
H00379,NA,,,,,
H00380,NA,,,,,
H00381,Cortex Magnoliae officilis,,,,,
H00382,Flos Magnoliae Offcinalis,,,,,
H00383,Saxifraga Stolonifera,,,,,
H00384,NA,,,,,
H00385,Herba Visci,,,,,
H00386,Fructus Piperis,,,,,
H00387,NA,,,,,
H00388,Tadehagi triquetrum,,,,,
H00389,Rhodiola subopposita,,,,,
H00391,Rhizoma Polygoni cuspidati,,,,,
H00392,Fraxinus ornus,,,,,
H00393,Radix Trichosanthis,,,,,
H00394,Uncaria sinensis,,,,,
H00395,Pericarpium Zanthoxyli,,,,,
H00396,Exocarpium Citri grandis,,,,,
H00397,Actinidia glaucophylla,,,,,
H00398,Evodia austrosinensis,,,,,
H00399,Ophicalcitum,,,,,
H00400,Symplocos chinensis,,,,,
H00401,Testa Arachidis Hypogaeae,,,,,
H00402,Schisandra sphenanthera,,,,,
H00403,Sophora japonica,,,,,
H00404,flos Sophorae,,,,,
H00405,fructus Sophorae,,,,,
H00406,Phellodendron amurense,,,,,
H00407,Cortex Phellodendri,,,,,
H00408,Glycyrrhiza kansuensis,,,,,
H00409,Hypericum ascyron,,,,,
H00410,Lonicera fulvotomentosa,,,,,
H00411,Patrinia scabiosaefolia,,,,,
H00412,Artemisia annua,,,,,
H00413,Piptanthus nepalensis,,,,,
H00414,Rhizoma Polygoti,,,,,
H00416,Rhizoma Coptidis,,,,,
H00417,Pueraria calycina,,,,,
H00418,Radix Astragali,,,,,
H00419,Radix Scutellariae,,,,,
H00420,Abelmoschus manihot,,,,,
H00421,Rhizoma Dioscoreae bulbiferae,,,,,
H00422,Lupinus luteus,,,,,
H00423,Foeniculum vulgare,,,,,
H00424,Semen Canbis;Fructus Canbis,,,,,
H00425,Herba Capsellae,,,,,
H00426,Capsella bursa- pastoris,,,,,
H00427,Glycyrrhiza echinata,,,,,
H00428,Herba Abri,,,,,
H00429,Flos Celosiae cristatae,,,,,
H00430,Erythrina latissima,,,,,
H00431,Fructus Tribuli,,,,,
H00432,Loropetalum chinense,,,,,
H00433,Gallus gallus domesticus,,,,,
H00434,Piper guineense,,,,,
H00435,Rhodiola algida,,,,,
H00436,Plumbagella micrantha,,,,,
H00437,Reineckea carnea,,,,,
H00438,Semen Impatientis,,,,,
H00439,herba centellae,,,,,
H00440,Caulis Millettiae; Caulis spatholobi,,,,,
H00441,Kummerowia striata,,,,,
H00442,Sinoadina racemosa [Syn. Adina racemosa ],,,,,
H00443,Bacopa monniera,,,,,
H00444,Nerium indicum,,,,,
H00445,Arnebia guttata,,,,,
H00446,Cassia acutifolia,,,,,
H00447,Epimedium sagittatum,,,,,
H00448,Perilla frutescens var. acuta,,,,,
H00449,Cortex Zingiberis,,,,,
H00450,Lignum Dalbergiae odoriferae Rosewood,,,,,
H00451,NA,,,,,
H00452,NA,,,,,
H00453,NA,,,,,
H00454,Ceratostigma plumbaginoides,,,,,
H00456,Radix Platycodi,,,,,
H00457,Sambucus williamsii,,,,,
H00458,Herba Inulae,,,,,
H00459,Actinidia chrysantha,,,,,
H00460,Berberis wilsonae,,,,,
H00462,Flos Trollii chinensis,,,,,
H00463,Cibotium barometz [Syn. Polypodium barometz ],,,,,
H00464,Herba Glechomae Longitubae,,,,,
H00465,Rhizoma Fagopyri Cymosi,,,,,
H00466,Hypericum patulum,,,,,
H00467,Craibiodendron yunnanese,,,,,
H00468,Flos Lonicerae,,,,,
H00469,Fructus Rosae laevigatae,,,,,
H00470,Radix Euphorbia Pekinensis,,,,,
H00471,Herba Schizonepetae,,,,,
H00472,NA,,,,,
H00473,Actinidia callosa var. henryi,,,,,
H00474,NA,,,,,
H00475,NA,,,,,
H00477,Aspongopus,,,,,
H00478,Flos Chrysanthemi,,,,,
H00479,Herba Cichorii,,,,,
H00480,Citrus reticulata,,,,,
H00481,folium citri tangerie,,,,,
H00483,Herba Selaginellae,,,,,
H00484,Semen Cassiae,,,,,
H00485,Piper methysticum,,,,,
H00487,Tagetes patula,,,,,
H00488,Ulva pertusa,,,,,
H00489,Herba Corydalis bungeae,,,,,
H00491,Sophora alopecuroides,,,,,
H00492,Herba Sophorae Alopecuroidis,,,,,
H00493,Conyza blinii,,,,,
H00494,Fagopyrum tataricum,,,,,
H00495,Radix Sophorae flavescentis,,,,,
H00496,Sophora flavescens [Syn. Sophora angustfolia],,,,,
H00497,Semen armeniacae amarum,,,,,
H00498,Phlomis tuberosa,,,,,
H00499,flos farfarae,,,,,
H00500,Typha latifolia,,,,,
H00501,Tripterygium hypoglaucum,,,,,
H00502,Actinidia latifolia,,,,,
H00503,fructus Capsici,,,,,
H00504,Raphanus sativus,,,,,
H00505,Semen Raphani,,,,,
H00506,Brandisia hancei,,,,,
H00507,Extractum Piri Laiyanensis,,,,,
H00508,Isodon japonica var. glaucocalyx,,,,,
H00509,NA,,,,,
H00510,Bidens tripartita,,,,,
H00511,Herba ErodiiHerba Geranii,,,,,
H00512,Acanthus ilicifolius,,,,,
H00513,radix tripterygii wilfordii,,,,,
H00514,Viscum angulatum,,,,,
H00515,Scutellaria likiangensis,,,,,
H00516,Ephedra likiangensis,,,,,
H00517,Peucedanum govanianum var. bicolo,,,,,
H00518,pericarpium pyri,,,,,
H00519,Semen Litchi,,,,,
H00520,Receptaculum Nelumbinis,,,,,
H00521,Fructus Forsythiae,,,,,
H00522,Stamen Nelumbinis,,,,,
H00523,Plumula Nelumbinis,,,,,
H00524,Radix Zanthoxyli,,,,,
H00525,Rhododendron huianum,,,,,
H00526,Folium Polygoni Tinctorii,,,,,
H00527,Crataegus sanguinea,,,,,
H00528,NA,,,,,
H00529,Rhododendron mariae,,,,,
H00530,Flos Campsis,,,,,
H00531,NA,,,,,
H00532,Ganoderma Lucidum seu Japonicum,,,,,
H00533,Herba Artemisiae Anomalae,,,,,
H00534,Massa Medicata Fermentata,,,,,
H00535,Ixora chinensis,,,,,
H00536,NA,,,,,
H00537,Os Draconis,,,,,
H00538,Solanum nigrum L.,,,,,
H00539,Solanum nigrum L.,,,,,
H00541,Clerodendron cyrtophyllum,,,,,
H00542,Rhaponticum carthamoides,,,,,
H00543,Rhizoma Phragmitis,,,,,
H00544,Aloe,,,,,
H00545,Cornu Cervi,,,,,
H00546,Fructus Liquidambaris,,,,,
H00547,Pyrrosia sheareri,,,,,
H00548,Isodon rubescens var. lushanensis,,,,,
H00549,Isodon rubescens var. lushiensis,,,,,
H00550,herba pyrolae chinensis,,,,,
H00551,Apocynum venetum,,,,,
H00552,Rauvolfia verticillata,,,,,
H00553,Fructus Momordicae,,,,,
H00554,Arachis hypogaea,,,,,
H00555,Arachis hypogaea,,,,,
H00556,Caulis Trachelospermi,,,,,
H00557,Alhagi pseudalhagi,,,,,
H00558,NA,,,,,
H00559,Hypericum laricifolium,,,,,
H00560,Herba Humuli Scandentis,,,,,
H00563,herba meconpsis integrifoliae,,,,,
H00564,Herba Verbae,,,,,
H00565,Herba Portulacae,,,,,
H00566,Cannabis sativa,,,,,
H00567,Herba Ephedrae,,,,,
H00568,Radix Ephedrae,,,,,
H00569,Bauhinia malabarica,,,,,
H00570,Semen Strychni,,,,,
H00571,Aloe marlothii,,,,,
H00572,Radix et Rhizoma Thalictri,,,,,
H00573,Rhododendron ovatum,,,,,
H00574,Fructus Hordei Germitus,,,,,
H00575,Fructus Viticis,,,,,
H00576,Folium Rhododendri Daurici,,,,,
H00577,Flemingia philippinensis [Syn. Moghania philippinensis],,,,,
H00578,Mangifera indica,,,,,
H00579,NA,,,,,
H00580,Erodium stephanianum,,,,,
H00581,Populus tomentosa,,,,,
H00582,Caragana tibetica,,,,,
H00583,Digitalis purpurea,,,,,
H00584,Ilex pubescens,,,,,
H00585,Drosera peltata var. lunata,,,,,
H00586,Rhododendron seniavinii,,,,,
H00587,Isodon trichocarpa,,,,,
H00588,Actinidia eriantha,,,,,
H00589,NA,,,,,
H00590,Datura innoxia,,,,,
H00591,Clerodendranthus spicatus,,,,,
H00592,Veratrum grandiflorum,,,,,
H00593,Rabdosia japonica,,,,,
H00594,Radix Ranunculi Terti,,,,,
H00595,Corydalis rosea,,,,,
H00596,Flos Rosae Rugosae,,,,,
H00597,Flos Mume,,,,,
H00598,Mitragyna speciosa,,,,,
H00599,Actinidia deliciosa,,,,,
H00600,Parmelia tinctorum,,,,,
H00602,Glycyrrhiza lepidota,,,,,
H00603,Hamamelis virginiana,,,,,
H00604,Celastrus scandens,,,,,
H00605,Astragalus mongholicus,,,,,
H00606,Actinidia arguta,,,,,
H00608,Libanotis condensata,,,,,
H00610,Flos Buddlejae,,,,,
H00611,NA,,,,,
H00612,Isodon lasiocarpus,,,,,
H00613,Changium smyrnioides,,,,,
H00615,Ephedra przewalskii,,,,,
H00616,herba ecliptae,,,,,
H00617,Myrrha,,,,,
H00618,Cortex Moutan,,,,,
H00619,Fructus Caryophylli,,,,,
H00620,Fructus Chaenomelis,,,,,
H00621,Semen Oroxyli,,,,,
H00622,Oroxylum indicum,,,,,
H00623,Hibiscus syriacus,,,,,
H00624,Folium Viticis Negundo,,,,,
H00625,Matricaria chamomilla [Syn. Matricaria recutita ],,,,,
H00626,Crassostrea gigas,,,,,
H00628,Flos Gossampini,,,,,
H00629,Actinidia polygama,,,,,
H00630,Caulis Aristolochiae seu Clematis,,,,,
H00631,Radix Aucklandiae,,,,,
H00632,Herba Equiseti Hiemalis,,,,,
H00633,Ephedra equisetina,,,,,
H00634,Microtoena prainiana,,,,,
H00635,Cuscuta australis,,,,,
